25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
253
# a b m n r  k err rhoa
8	9	24	25	9.47903159754505e-03	1.44294421244800e+03	1.05596008712429e-01	1.36777137832894e+01
1	2	18	19	-4.85083562957755e-03	1.13407944848297e+04	2.06250048437549e-01	-5.50123299547287e+01
2	3	19	20	-4.79869376031384e-03	1.13407944848297e+04	2.08490043196797e-01	-5.44209997313541e+01
3	4	20	21	-2.69246995313129e-02	-5.02779790256318e+02	3.72406187406853e-02	1.35371947830679e+01
4	5	21	22	-9.35364682463982e-04	-8.19204593489534e+04	1.06920172978282e+00	7.66255044462374e+01
5	6	22	23	-2.68765352358688e-02	-5.02779790256317e+02	3.73071768635350e-02	1.35129787487066e+01
6	7	23	24	-4.81862039497821e-03	1.13407944848297e+04	2.07628279472308e-01	-5.46469835998570e+01
7	8	24	25	-4.82185128824734e-03	1.13407944848297e+04	2.07489224640207e-01	-5.46836244964246e+01
1	2	19	20	-5.97738079688428e-03	-5.28391522583616e+03	1.67397355477378e-01	3.15839734032775e+01
2	3	20	21	-2.17461335160231e-02	-5.18614330024727e+02	4.60851862522216e-02	1.12778564640406e+01
3	4	21	22	3.31555619080395e-04	6.71571716413824e+03	3.01618521301375e+00	2.22663376192469e+00
4	5	22	23	3.32650952144589e-04	6.71571716413824e+03	3.00625402887933e+00	2.23398970898435e+00
5	6	23	24	-2.17455845634602e-02	-5.18614330024727e+02	4.60863471171215e-02	1.12775717693750e+01
6	7	24	25	-5.99807385222900e-03	-5.28391522583616e+03	1.66820187953068e-01	3.16933137534826e+01
1	2	20	21	-1.24311889858997e-02	-7.27782609751511e+02	8.05428282068809e-02	9.04720316247232e+00
2	3	21	22	3.28857321826258e-03	2.74029021636987e+03	3.04183240247368e-01	9.01164501582091e+00
