25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
225
# a b m n r k err rhoa 
3	4	13	14	2.76624675532768e-02	2.97575927300304e+02	4.61500649959748e-02	8.23168443358093e+00
4	5	14	15	2.81901749403377e-02	2.97575927300304e+02	4.54733520496564e-02	8.38871744862879e+00
5	6	15	16	1.85087936789789e-01	5.63550388990247e+01	1.54028372531687e-02	1.04306378775288e+01
6	7	16	17	2.76277177957202e-02	2.97575927300304e+02	4.61955340428050e-02	8.22134374225256e+00
7	8	17	18	2.72219264111204e-02	2.97575927300304e+02	4.67350930605518e-02	8.10058999468980e+00
8	9	18	19	2.76143894089142e-02	2.97575927300304e+02	4.62130042128395e-02	8.21737753518935e+00
9	10	19	20	2.79885536138084e-02	2.97575927300304e+02	4.57288916675795e-02	8.32871979542332e+00
10	11	20	21	1.86230135880814e-01	5.63550388990247e+01	1.53697002113557e-02	1.04950065517339e+01
11	12	21	22	2.82549450044317e-02	2.97575927300304e+02	4.53920349108148e-02	8.40799146051287e+00
12	13	22	23	2.78088582721446e-02	2.97575927300304e+02	4.59597646984908e-02	8.27524678749617e+00
13	14	23	24	2.83122421159094e-02	2.97575927300304e+02	4.53204100157816e-02	8.42504170159247e+00
14	15	24	25	2.83688511116059e-02	2.97575927300304e+02	4.52499294407764e-02	8.44188717598040e+00
1	2	12	13	1.32742430353094e-02	7.68607915666014e+02	8.53338625291104e-02	1.02026882714133e+01
2	3	13	14	1.39950101357089e-02	7.68607915666014e+02	8.14540389969747e-02	1.07566755701320e+01
3	4	14	15	1.39642326117741e-02	7.68607915666014e+02	8.16115255167576e-02	1.07330197216111e+01
4	5	15	16	-3.27767906110605e-02	-3.55027692789554e+02	4.05093934261688e-02	1.16366683476911e+01
5	6	16	17	-3.11843453444202e-02	-3.55027692789554e+02	4.20673719122640e-02	1.10713061787822e+01
6	7	17	18	1.32134961853184e-02	7.68607915666014e+02	8.56801974265605e-02	1.01559977616584e+01
7	8	18	19	1.39457452734790e-02	7.68607915666014e+02	8.17064581626718e-02	1.07188102070579e+01
8	9	19	20	1.35514431330118e-02	7.68607915666014e+02	8.37928787498627e-02	1.04157464607307e+01
9	10	20	21	-3.30766236359790e-02	-3.55027692789554e+02	4.02328318333027e-02	1.17431173747501e+01
10	11	21	22	-3.09442911909626e-02	-3.55027692789554e+02	4.23161385028607e-02	1.09860803065356e+01
11	12	22	23	1.37589917334568e-02	7.68607915666014e+02	8.26797442263424e-02	1.05752699579182e+01
12	13	23	24	1.39005609705472e-02	7.68607915666014e+02	8.19395427363558e-02	1.06840811941606e+01
13	14	24	25	1.38722870399067e-02	7.68607915666014e+02	8.20861669833733e-02	1.06623496272633e+01
1	2	13	14	-6.47607577460144e-04	-1.79962674780121e+03	1.55414499583514e+00	1.16545191847602e+00
2	3	14	15	-4.05053296829785e-04	-1.79962674780121e+03	2.47881091408627e+00	7.28944747259945e-01
3	4	15	16	-4.46718248474418e-02	-2.32180777481560e+02	3.23854745897462e-02	1.03719390245991e+01
5	6	17	18	-4.41900699443413e-02	-2.32180777481560e+02	3.26295183795710e-02	1.02600847966417e+01
6	7	18	19	-8.67508767221623e-04	-1.79962674780121e+03	1.16272610235711e+00	1.56119198144409e+00
7	8	19	20	-3.53434728086202e-04	-1.79962674780121e+03	2.83937674352166e+00	6.36050590265778e-01
8	9	20	21	-4.48174988183390e-02	-2.32180777481560e+02	3.23127132563410e-02	1.04057617204208e+01
9	10	21	22	-2.75020804304665e-05	-5.28391522583616e+03	3.63708855893030e+01	1.45318661528713e-01
10	11	22	23	-4.47536313786382e-02	-2.32180777481560e+02	3.23445554962791e-02	1.03909329286153e+01
11	12	23	24	-1.09018650146879e-03	-1.79962674780121e+03	9.27274244959662e-01	1.96192878813506e+00
12	13	24	25	-6.89011736482323e-04	-1.79962674780121e+03	1.46135408738521e+00	1.23996395052255e+00
1	2	14	15	-3.44462860616136e-03	-1.39875055925275e+03	3.00307058999427e-01	4.81817618928622e+00
2	3	15	16	-3.96157965955027e-02	-2.72989784155684e+02	3.52424559377287e-02	1.08147077617618e+01
3	4	16	17	2.72243600165252e-03	1.13407944848297e+04	3.77318092837811e-01	3.08745871928428e+01
4	5	17	18	2.95837506025223e-03	1.13407944848297e+04	3.48023401236603e-01	3.35503235673664e+01
5	6	18	19	-3.99824699253419e-02	-2.72989784155684e+02	3.50109611003840e-02	1.09148058349302e+01
6	7	19	20	-3.47215546750584e-03	-1.39875055925275e+03	2.98005537009647e-01	4.85667940198629e+00
7	8	20	21	-3.92729930605184e-02	-2.72989784155684e+02	3.54627906372970e-02	1.07211258987386e+01
8	9	21	22	2.71515722761091e-03	1.13407944848297e+04	3.78302796549248e-01	3.07920401123354e+01
9	10	22	23	2.95669665054446e-03	1.13407944848297e+04	3.48215284890946e-01	3.35312890678092e+01
10	11	23	24	-4.07175297432971e-02	-2.72989784155684e+02	3.45594466635005e-02	1.11154696559753e+01
11	12	24	25	-3.94974172702876e-03	-1.39875055925275e+03	2.63181111351365e-01	5.52470344958540e+00
1	2	15	16	-2.74513194752438e-02	-4.43421716747517e+02	4.64281214570331e-02	1.21725112086972e+01
2	3	16	17	7.87948357027121e-03	1.44294421244800e+03	1.36911870693269e-01	1.13696552148020e+01
3	4	17	18	8.04888303056396e-03	1.44294421244800e+03	1.34240841394105e-01	1.16140891856232e+01
4	5	18	19	8.21477502820792e-03	1.44294421244800e+03	1.31731879030916e-01	1.18534620835150e+01
5	6	19	20	-2.78641331515532e-02	-4.43421716747517e+02	4.58884302827938e-02	1.23555617577431e+01
6	7	20	21	-2.69679940325145e-02	-4.43421716747517e+02	4.70809930762492e-02	1.19581942111344e+01
7	8	21	22	7.80003298706920e-03	1.44294421244800e+03	1.38204586013647e-01	1.12550124555950e+01
8	9	22	23	8.10902980760060e-03	1.44294421244800e+03	1.33319314853511e-01	1.17008776294456e+01
9	10	23	24	8.31853541814691e-03	1.44294421244800e+03	1.30213469046306e-01	1.20031825376588e+01
10	11	24	25	-2.82005775079966e-02	-4.43421716747517e+02	4.54602667167521e-02	1.25047484918673e+01
