25
# x y z 
-40	-40	0
-20	-40	0
0	-40	0
20	-40	0
40	-40	0
-40	-20	0
-20	-20	0
0	-20	0
20	-20	0
40	-20	0
-40	0	0
-20	0	0
0	0	0
20	0	0
40	0	0
-40	20	0
-20	20	0
0	20	0
20	20	0
40	20	0
-40	40	0
-20	40	0
0	40	0
20	40	0
40	40	0
251
# a b m n r k err rhoa 
15	16	23	24	-1.85457520551344e-01	-5.59385374796071e+02	1.53920703621353e-02	1.03742224642364e+02
16	17	24	25	-4.43767189580649e-02	-2.19332546791530e+03	3.25343383530671e-02	9.73325878732435e+01
1	2	10	11	-1.06756826278936e-01	-9.93557489660722e+02	1.93670825075596e-02	1.06069044321845e+02
2	3	11	12	3.41353159598775e-02	3.07443166266406e+03	3.92951733968244e-02	1.04946696202089e+02
3	4	12	13	3.40393175089516e-02	3.07443166266406e+03	3.93777923055309e-02	1.04651555524996e+02
4	5	13	14	3.44300776228839e-02	3.07443166266406e+03	3.90443725092084e-02	1.05852920791775e+02
5	6	14	15	-1.06155541439029e-01	-9.93557489660722e+02	1.94201394147130e-02	1.05471633265736e+02
6	7	15	16	-1.05580135087532e-01	-9.93557489660722e+02	1.94714786940833e-02	1.04899933975608e+02
7	8	16	17	3.39518261933466e-02	3.07443166266406e+03	3.94534966780658e-02	1.04382569454092e+02
8	9	17	18	3.34485230655105e-02	3.07443166266406e+03	3.98966862614966e-02	1.02835198381954e+02
9	10	18	19	3.39563154137782e-02	3.07443166266406e+03	3.94496027562000e-02	1.04396371255527e+02
10	11	19	20	-1.05767094628425e-01	-9.93557489660722e+02	1.94547364046743e-02	1.05085689027726e+02
11	12	20	21	-1.06387512752660e-01	-9.93557489660722e+02	1.93995993902489e-02	1.05702110101781e+02
12	13	21	22	3.41134700059323e-02	3.07443166266406e+03	3.93139337577239e-02	1.04879532309579e+02
13	14	22	23	3.40762273422602e-02	3.07443166266406e+03	3.93459716052497e-02	1.04765032285183e+02
14	15	23	24	3.41889129194377e-02	3.07443166266406e+03	3.92492482096868e-02	1.05111476391583e+02
15	16	24	25	-1.07274939583705e-01	-9.93557489660722e+02	1.93218416517468e-02	1.06583819676292e+02
1	2	11	12	8.59110214933017e-02	1.19030370920122e+03	2.16399500624954e-02	1.02260207544743e+02
2	3	12	13	8.56919091991955e-02	1.19030370920122e+03	2.16697131543125e-02	1.01999397368336e+02
3	4	13	14	8.56184859749672e-02	1.19030370920122e+03	2.16797206656092e-02	1.01912001432196e+02
4	5	14	15	8.60622777897160e-02	1.19030370920122e+03	2.16194926009673e-02	1.02440248475405e+02
5	6	15	16	4.66245727202182e-01	2.25420155596099e+02	1.21447917732152e-02	1.05101184371932e+02
6	7	16	17	8.57236444017739e-02	1.19030370920122e+03	2.16653929843807e-02	1.02037171897678e+02
7	8	17	18	8.58268152124241e-02	1.19030370920122e+03	2.16513702334750e-02	1.02159976496276e+02
8	9	18	19	8.52344307580297e-02	1.19030370920122e+03	2.17323479620446e-02	1.01454859082937e+02
9	10	19	20	8.57383320427244e-02	1.19030370920122e+03	2.16633946121285e-02	1.02054654651180e+02
10	11	20	21	4.66248715019131e-01	2.25420155596099e+02	1.21447780289517e-02	1.05101857886094e+02
11	12	21	22	8.63659380540986e-02	1.19030370920122e+03	2.15786387843505e-02	1.02801696414436e+02
12	13	22	23	8.54720642196096e-02	1.19030370920122e+03	2.16997291352485e-02	1.01737715073686e+02
13	14	23	24	8.54007872631245e-02	1.19030370920122e+03	2.17094939291244e-02	1.01652873848001e+02
14	15	24	25	8.59213830819907e-02	1.19030370920122e+03	2.16385463563331e-02	1.02272540982192e+02
1	2	12	13	3.40237115694438e-02	3.07443166266406e+03	3.93912672625078e-02	1.04603576130447e+02
2	3	13	14	3.40301142498900e-02	3.07443166266406e+03	3.93857373694604e-02	1.04623260733937e+02
3	4	14	15	3.42460092546207e-02	3.07443166266406e+03	3.92004826771187e-02	1.05287015172292e+02
4	5	15	16	-7.60901196091815e-02	-1.42011077115822e+03	2.31423107906290e-02	1.08056398435716e+02
5	6	16	17	-7.55576250623764e-02	-1.42011077115822e+03	2.32349316058366e-02	1.07300197194215e+02
6	7	17	18	3.37410427811763e-02	3.07443166266406e+03	3.96374953935297e-02	1.03734530257751e+02
7	8	18	19	3.36355730397432e-02	3.07443166266406e+03	3.97304285203769e-02	1.03410270745236e+02
8	9	19	20	3.39616624345645e-02	3.07443166266406e+03	3.94449661269305e-02	1.04412810305534e+02
9	10	20	21	-7.55353408664620e-02	-1.42011077115822e+03	2.32388361332464e-02	1.07268551167570e+02
10	11	21	22	-7.62445174369051e-02	-1.42011077115822e+03	2.31156971493397e-02	1.08275660453909e+02
11	12	22	23	3.40886928880109e-02	3.07443166266406e+03	3.93352403767791e-02	1.04803356753732e+02
12	13	23	24	3.40363356123929e-02	3.07443166266406e+03	3.93803660707791e-02	1.04642387887801e+02
13	14	24	25	3.41952174855430e-02	3.07443166266406e+03	3.92438555310484e-02	1.05130859349237e+02
1	2	13	14	-1.27647328870367e-02	-7.19850699120485e+03	8.83408480889996e-02	9.18870189281962e+01
2	3	14	15	-1.27354496567620e-02	-7.19850699120485e+03	8.85209809587713e-02	9.16762233903387e+01
3	4	15	16	-1.12994361045615e-01	-9.28723109926239e+02	1.88499991570049e-02	1.04940474394412e+02
4	5	16	17	-3.98097255420898e-03	-2.11356609033446e+04	2.61194899332508e-01	8.41404859712828e+01
5	6	17	18	-1.12528757215245e-01	-9.28723109926239e+02	1.88866172945214e-02	1.04508057357077e+02
6	7	18	19	-1.28216103816887e-02	-7.19850699120485e+03	8.79933230094216e-02	9.22964519710908e+01
7	8	19	20	-1.29170770621180e-02	-7.19850699120485e+03	8.74168951064561e-02	9.29836695375883e+01
8	9	20	21	-1.12250702603692e-01	-9.28723109926239e+02	1.89086302072474e-02	1.04249821613506e+02
9	10	21	22	-3.98562695359272e-03	-2.11356609033446e+04	2.60901554923142e-01	8.42388597783663e+01
10	11	22	23	-1.12953911405696e-01	-9.28723109926239e+02	1.88531684078500e-02	1.04902907879031e+02
11	12	23	24	-1.27340748998898e-02	-7.19850699120485e+03	8.85294579984490e-02	9.16663271933830e+01
12	13	24	25	-1.24761408766270e-02	-7.19850699120485e+03	9.01529904069467e-02	8.98095873236561e+01
1	2	14	15	-1.69353759234962e-02	-5.59500223701100e+03	6.90479954219733e-02	9.47534661765834e+01
2	3	15	16	-9.64591595523923e-02	-1.09195913662274e+03	2.03670818265511e-02	1.05329460584185e+02
3	4	16	17	3.08978547964500e-03	4.53631779393190e+04	3.33647064363476e-01	1.40162488507460e+02
4	5	17	18	3.18638587517520e-03	4.53631779393190e+04	3.23835184806365e-01	1.44544589438905e+02
5	6	18	19	-9.59842558865916e-02	-1.09195913662274e+03	2.04183752925223e-02	1.04810885187298e+02
6	7	19	20	-1.70317683661960e-02	-5.59500223701100e+03	6.87138093061882e-02	9.52927821091198e+01
7	8	20	21	-9.60406867152040e-02	-1.09195913662274e+03	2.04122537458043e-02	1.04872505346189e+02
8	9	21	22	3.12770337180610e-03	4.53631779393190e+04	3.29723413995793e-01	1.41882564596648e+02
